origination_vintage,months_on_book,active_accounts,defaults_in_month,exposure,originations,cumulative_defaults,cumulative_default_rate
2021Q4,33,162,2,763425.4,225,16,0.07111111111111111
2021Q4,34,160,2,667386.84,225,18,0.08
2021Q4,35,158,2,593143.48,225,20,0.08888888888888889
2021Q4,36,109,1,539749.3099999999,225,21,0.09333333333333334
2021Q4,37,108,0,503299.67,225,21,0.09333333333333334
2021Q4,38,108,0,469052.69,225,21,0.09333333333333334
2021Q4,39,108,0,434823.81,225,21,0.09333333333333334
2021Q4,40,108,0,400757.03,225,21,0.09333333333333334
2021Q4,41,108,0,366938.15,225,21,0.09333333333333334
2021Q4,42,108,0,333061.67,225,21,0.09333333333333334
2021Q4,43,108,1,299584.17,225,22,0.09777777777777778
2021Q4,44,107,0,265582.49,225,22,0.09777777777777778
2021Q4,45,107,1,232148.9,225,23,0.10222222222222223
2021Q4,46,106,0,195347.27,225,23,0.10222222222222223
2021Q4,47,106,1,161815.74,225,24,0.10666666666666667
2021Q4,48,67,0,144807.66,225,24,0.10666666666666667
2021Q4,49,67,0,132088.35,225,24,0.10666666666666667
2021Q4,50,67,0,119369.06,225,24,0.10666666666666667
2021Q4,51,67,0,106649.64,225,24,0.10666666666666667
2021Q4,52,67,0,93930.35,225,24,0.10666666666666667
2021Q4,53,67,0,81951.97,225,24,0.10666666666666667
2021Q4,54,67,0,70038.03,225,24,0.10666666666666667
2021Q4,55,67,0,58324.39,225,24,0.10666666666666667
2021Q4,56,67,0,47165.71,225,24,0.10666666666666667
2021Q4,57,48,0,29219.62,225,24,0.10666666666666667
2021Q4,58,28,0,12350.36,225,24,0.10666666666666667
2022Q1,0,245,0,4794079.13,245,0,0.0
2022Q1,1,245,0,4661065.45,245,0,0.0
2022Q1,2,245,0,4527725.06,245,0,0.0
2022Q1,3,245,0,4394727.52,245,0,0.0
2022Q1,4,245,0,4261728.79,245,0,0.0
2022Q1,5,245,0,4129404.94,245,0,0.0
2022Q1,6,245,0,3997203.86,245,0,0.0
2022Q1,7,245,1,3864510.67,245,1,0.004081632653061225
2022Q1,8,244,0,3715410.16,245,1,0.004081632653061225
2022Q1,9,244,0,3583200.31,245,1,0.004081632653061225
2022Q1,10,244,0,3451778.26,245,1,0.004081632653061225
2022Q1,11,244,0,3320844.17,245,1,0.004081632653061225
2022Q1,12,244,2,3191073.93,245,3,0.012244897959183673
2022Q1,13,242,0,3034543.36,245,3,0.012244897959183673
2022Q1,14,242,2,2906596.85,245,5,0.02040816326530612
2022Q1,15,240,1,2762357.9,245,6,0.024489795918367346
2022Q1,16,239,1,2628937.37,245,7,0.02857142857142857
2022Q1,17,238,0,2498037.49,245,7,0.02857142857142857
2022Q1,18,238,2,2370804.33,245,9,0.036734693877551024
2022Q1,19,236,1,2207297.13,245,10,0.04081632653061224
2022Q1,20,235,0,2071733.08,245,10,0.04081632653061224
2022Q1,21,235,0,1945634.95,245,10,0.04081632653061224
2022Q1,22,235,1,1820106.5,245,11,0.044897959183673466
2022Q1,23,234,1,1687063.47,245,12,0.04897959183673469
2022Q1,24,179,5,1584891.02,245,17,0.06938775510204082
2022Q1,25,174,0,1472634.43,245,17,0.06938775510204082
2022Q1,26,174,0,1399274.54,245,17,0.06938775510204082
2022Q1,27,174,0,1326058.73,245,17,0.06938775510204082
2022Q1,28,174,0,1253282.86,245,17,0.06938775510204082
2022Q1,29,174,0,1180267.39,245,17,0.06938775510204082
2022Q1,30,174,0,1107293.78,245,17,0.06938775510204082
2022Q1,31,174,1,1034481.04,245,18,0.07346938775510205
2022Q1,32,173,2,958914.61,245,20,0.08163265306122448
2022Q1,33,171,1,872994.91,245,21,0.08571428571428572
2022Q1,34,170,0,798427.43,245,21,0.08571428571428572
2022Q1,35,170,0,725809.51,245,21,0.08571428571428572
2022Q1,36,119,0,685212.5,245,21,0.08571428571428572
2022Q1,37,119,0,648058.6,245,21,0.08571428571428572
2022Q1,38,119,0,611240.88,245,21,0.08571428571428572
2022Q1,39,119,1,574421.44,245,22,0.08979591836734693
2022Q1,40,118,0,536870.53,245,22,0.08979591836734693
2022Q1,41,118,1,500318.61,245,23,0.09387755102040816
2022Q1,42,117,1,461733.08999999997,245,24,0.09795918367346938
2022Q1,43,116,0,411844.58,245,24,0.09795918367346938
2022Q1,44,116,0,375447.08,245,24,0.09795918367346938
2022Q1,45,116,0,339213.34,245,24,0.09795918367346938
2022Q1,46,116,0,302978.47,245,24,0.09795918367346938
2022Q1,47,116,0,266825.48,245,24,0.09795918367346938
2022Q1,48,85,0,240102.05000000002,245,24,0.09795918367346938
2022Q1,49,85,0,219156.31,245,24,0.09795918367346938
2022Q1,50,85,0,198286.44,245,24,0.09795918367346938
2022Q1,51,85,0,177431.66,245,24,0.09795918367346938
2022Q1,52,85,1,156531.32,245,25,0.10204081632653061
2022Q1,53,84,0,134708.87,245,25,0.10204081632653061
2022Q1,54,47,1,75067.71,245,26,0.10612244897959183
2022Q1,55,26,0,38000.39,245,26,0.10612244897959183
2022Q2,0,245,0,4576800.35,245,0,0.0
2022Q2,1,245,0,4454093.34,245,0,0.0
2022Q2,2,245,0,4330413.09,245,0,0.0
2022Q2,3,245,0,4207572.38,245,0,0.0
2022Q2,4,245,1,4084821.66,245,1,0.004081632653061225
2022Q2,5,244,0,3917326.67,245,1,0.004081632653061225
2022Q2,6,244,0,3794480.55,245,1,0.004081632653061225
2022Q2,7,244,0,3671335.93,245,1,0.004081632653061225
2022Q2,8,244,0,3547769.45,245,1,0.004081632653061225
2022Q2,9,244,0,3424277.97,245,1,0.004081632653061225
2022Q2,10,244,0,3301112.84,245,1,0.004081632653061225
2022Q2,11,244,0,3177745.2,245,1,0.004081632653061225
2022Q2,12,244,0,3055988.82,245,1,0.004081632653061225
2022Q2,13,244,0,2934627.32,245,1,0.004081632653061225
2022Q2,14,244,1,2813759.97,245,2,0.00816326530612245
2022Q2,15,243,0,2691236.36,245,2,0.00816326530612245
2022Q2,16,243,1,2571291.6,245,3,0.012244897959183673
2022Q2,17,242,1,2445842.37,245,4,0.0163265306122449
2022Q2,18,241,2,2271036.08,245,6,0.024489795918367346
2022Q2,19,239,0,2140314.95,245,6,0.024489795918367346
2022Q2,20,239,1,2020872.32,245,7,0.02857142857142857
2022Q2,21,238,1,1896425.36,245,8,0.0326530612244898
2022Q2,22,237,0,1756455.32,245,8,0.0326530612244898
2022Q2,23,237,1,1637466.76,245,9,0.036734693877551024
2022Q2,24,183,1,1554361.94,245,10,0.04081632653061224
2022Q2,25,182,0,1476303.1300000001,245,10,0.04081632653061224
2022Q2,26,182,0,1404636.05,245,10,0.04081632653061224
2022Q2,27,182,0,1332970.11,245,10,0.04081632653061224
2022Q2,28,182,1,1262615.88,245,11,0.044897959183673466
2022Q2,29,181,0,1185502.11,245,11,0.044897959183673466
2022Q2,30,181,0,1115321.15,245,11,0.044897959183673466
2022Q2,31,181,1,1045645.51,245,12,0.04897959183673469
2022Q2,32,180,0,971449.13,245,12,0.04897959183673469
2022Q2,33,180,0,902145.67,245,12,0.04897959183673469
2022Q2,34,180,1,834260.85,245,13,0.053061224489795916
2022Q2,35,179,0,738172.86,245,13,0.053061224489795916
2022Q2,36,136,0,693468.31,245,13,0.053061224489795916
2022Q2,37,136,0,652210.85,245,13,0.053061224489795916
2022Q2,38,136,0,610894.13,245,13,0.053061224489795916
2022Q2,39,136,0,569576.72,245,13,0.053061224489795916
2022Q2,40,136,0,528443.82,245,13,0.053061224489795916
2022Q2,41,136,0,487125.27999999997,245,13,0.053061224489795916
2022Q2,42,136,0,446117.85,245,13,0.053061224489795916
2022Q2,43,136,0,404758.69,245,13,0.053061224489795916
2022Q2,44,136,0,363398.92,245,13,0.053061224489795916
2022Q2,45,136,0,322406.5,245,13,0.053061224489795916
2022Q2,46,136,0,281939.47,245,13,0.053061224489795916
2022Q2,47,136,0,242060.61,245,13,0.053061224489795916
2022Q2,48,87,0,218970.61,245,13,0.053061224489795916
2022Q2,49,87,2,200880.43,245,15,0.061224489795918366
2022Q2,50,85,0,167937.11,245,15,0.061224489795918366
2022Q2,51,59,0,111747.27,245,15,0.061224489795918366
2022Q2,52,22,0,34515.84,245,15,0.061224489795918366
2022Q3,0,264,0,5080623.34,264,0,0.0
2022Q3,1,264,0,4944296.9,264,0,0.0
2022Q3,2,264,0,4807742.75,264,0,0.0
2022Q3,3,264,0,4672005.83,264,0,0.0
2022Q3,4,264,0,4536514.32,264,0,0.0
2022Q3,5,264,0,4401074.28,264,0,0.0
2022Q3,6,264,1,4266388.17,264,1,0.003787878787878788
2022Q3,7,263,0,4121923.5,264,1,0.003787878787878788
2022Q3,8,263,1,3987015.68,264,2,0.007575757575757576
2022Q3,9,262,0,3808303.7,264,2,0.007575757575757576
2022Q3,10,262,1,3673485.08,264,3,0.011363636363636364
2022Q3,11,261,1,3525079.34,264,4,0.015151515151515152
2022Q3,12,260,0,3385734.51,264,4,0.015151515151515152
2022Q3,13,260,2,3251357.72,264,6,0.022727272727272728
2022Q3,14,258,0,3100352.87,264,6,0.022727272727272728
2022Q3,15,258,0,2967359.91,264,6,0.022727272727272728
2022Q3,16,258,0,2835583.05,264,6,0.022727272727272728
2022Q3,17,258,1,2703870.81,264,7,0.026515151515151516
2022Q3,18,257,0,2561235.42,264,7,0.026515151515151516
2022Q3,19,257,0,2430764.32,264,7,0.026515151515151516
2022Q3,20,257,1,2300298.72,264,8,0.030303030303030304
2022Q3,21,256,2,2159758.42,264,10,0.03787878787878788
2022Q3,22,254,0,1993787.2,264,10,0.03787878787878788
2022Q3,23,254,0,1865757.69,264,10,0.03787878787878788
2022Q3,24,202,2,1783764.4,264,12,0.045454545454545456
2022Q3,25,200,0,1669227.74,264,12,0.045454545454545456
2022Q3,26,200,1,1590028.25,264,13,0.04924242424242424
2022Q3,27,199,1,1507394.82,264,14,0.05303030303030303
2022Q3,28,198,1,1418590.15,264,15,0.056818181818181816
2022Q3,29,197,0,1325754.91,264,15,0.056818181818181816
2022Q3,30,197,0,1247941.15,264,15,0.056818181818181816
2022Q3,31,197,1,1169943.7,264,16,0.06060606060606061
2022Q3,32,196,0,1089095.88,264,16,0.06060606060606061
2022Q3,33,196,2,1011715.22,264,18,0.06818181818181818
2022Q3,34,194,0,922862.17,264,18,0.06818181818181818
2022Q3,35,194,0,845630.85,264,18,0.06818181818181818
2022Q3,36,147,0,796925.61,264,18,0.06818181818181818
2022Q3,37,147,0,749744.16,264,18,0.06818181818181818
2022Q3,38,147,0,702921.67,264,18,0.06818181818181818
2022Q3,39,147,0,656173.55,264,18,0.06818181818181818
2022Q3,40,147,0,609241.27,264,18,0.06818181818181818
2022Q3,41,147,2,562601.0,264,20,0.07575757575757576
2022Q3,42,145,0,505886.0,264,20,0.07575757575757576
2022Q3,43,145,0,458942.53,264,20,0.07575757575757576
2022Q3,44,145,0,411760.14,264,20,0.07575757575757576
2022Q3,45,145,1,364583.5,264,21,0.07954545454545454
2022Q3,46,144,0,315758.4,264,21,0.07954545454545454
2022Q3,47,144,0,268995.75,264,21,0.07954545454545454
2022Q3,48,59,0,172265.91,264,21,0.07954545454545454
2022Q3,49,31,0,81509.93000000001,264,21,0.07954545454545454
2022Q4,0,264,0,5057160.25,264,0,0.0
2022Q4,1,264,0,4922685.81,264,0,0.0
2022Q4,2,264,0,4788740.74,264,0,0.0
2022Q4,3,264,0,4654826.87,264,0,0.0
2022Q4,4,264,0,4521794.48,264,0,0.0
2022Q4,5,264,1,4389736.26,264,1,0.003787878787878788
2022Q4,6,263,1,4231820.01,264,2,0.007575757575757576
2022Q4,7,262,0,4089173.76,264,2,0.007575757575757576
2022Q4,8,262,1,3957421.37,264,3,0.011363636363636364
2022Q4,9,261,2,3814359.09,264,5,0.01893939393939394
2022Q4,10,259,1,3659556.5,264,6,0.022727272727272728
2022Q4,11,258,1,3525232.17,264,7,0.026515151515151516
2022Q4,12,257,1,3365952.57,264,8,0.030303030303030304
2022Q4,13,256,0,3219169.41,264,8,0.030303030303030304
2022Q4,14,256,0,3089180.23,264,8,0.030303030303030304
2022Q4,15,256,2,2959326.09,264,10,0.03787878787878788
2022Q4,16,254,1,2820039.68,264,11,0.041666666666666664
2022Q4,17,253,2,2683208.65,264,13,0.04924242424242424
2022Q4,18,251,0,2537520.29,264,13,0.04924242424242424
2022Q4,19,251,0,2409646.22,264,13,0.04924242424242424
2022Q4,20,251,0,2281798.84,264,13,0.04924242424242424
2022Q4,21,251,1,2154058.7399999998,264,14,0.05303030303030303
2022Q4,22,250,3,2019848.51,264,17,0.06439393939393939
2022Q4,23,247,0,1874493.88,264,17,0.06439393939393939
2022Q4,24,201,0,1790859.36,264,17,0.06439393939393939
2022Q4,25,201,0,1708306.55,264,17,0.06439393939393939
2022Q4,26,201,1,1626045.75,264,18,0.06818181818181818
2022Q4,27,200,0,1534132.87,264,18,0.06818181818181818
2022Q4,28,200,0,1452136.79,264,18,0.06818181818181818
2022Q4,29,200,1,1370256.15,264,19,0.07196969696969698
2022Q4,30,199,0,1279202.82,264,19,0.07196969696969698
2022Q4,31,199,0,1197879.27,264,19,0.07196969696969698
2022Q4,32,199,0,1117317.56,264,19,0.07196969696969698
2022Q4,33,199,1,1036964.91,264,20,0.07575757575757576
2022Q4,34,198,1,954194.13,264,21,0.07954545454545454
2022Q4,35,197,1,869334.85,264,22,0.08333333333333333
2022Q4,36,144,0,813036.05,264,22,0.08333333333333333
2022Q4,37,144,0,765515.28,264,22,0.08333333333333333
2022Q4,38,144,0,718174.4,264,22,0.08333333333333333
2022Q4,39,144,0,670868.25,264,22,0.08333333333333333
2022Q4,40,144,0,623644.1,264,22,0.08333333333333333
2022Q4,41,144,1,577242.77,264,23,0.08712121212121213
2022Q4,42,143,1,528302.66,264,24,0.09090909090909091
2022Q4,43,142,0,467809.59,264,24,0.09090909090909091
2022Q4,44,142,0,421578.91,264,24,0.09090909090909091
2022Q4,45,86,0,210396.45,264,24,0.09090909090909091
2022Q4,46,46,0,99593.65,264,24,0.09090909090909091
2023Q1,0,275,0,4878052.83,275,0,0.0
2023Q1,1,275,0,4753679.55,275,0,0.0
2023Q1,2,275,0,4629818.42,275,0,0.0
2023Q1,3,275,0,4506425.04,275,0,0.0
2023Q1,4,275,0,4383140.68,275,0,0.0
2023Q1,5,275,1,4259969.16,275,1,0.0036363636363636364
2023Q1,6,274,1,4122302.94,275,2,0.007272727272727273
2023Q1,7,273,0,3974473.61,275,2,0.007272727272727273
2023Q1,8,273,1,3853049.77,275,3,0.01090909090909091
2023Q1,9,272,0,3722005.03,275,3,0.01090909090909091
2023Q1,10,272,0,3600206.69,275,3,0.01090909090909091
2023Q1,11,272,2,3479467.31,275,5,0.01818181818181818
2023Q1,12,270,0,3340408.81,275,5,0.01818181818181818
2023Q1,13,270,2,3220689.92,275,7,0.025454545454545455
2023Q1,14,268,1,3064849.04,275,8,0.02909090909090909
2023Q1,15,267,0,2930875.95,275,8,0.02909090909090909
2023Q1,16,267,1,2812753.05,275,9,0.03272727272727273
2023Q1,17,266,0,2686590.08,275,9,0.03272727272727273
2023Q1,18,266,0,2568337.04,275,9,0.03272727272727273
2023Q1,19,266,1,2449601.22,275,10,0.03636363636363636
2023Q1,20,265,1,2326161.54,275,11,0.04
2023Q1,21,264,1,2193731.48,275,12,0.04363636363636364
2023Q1,22,263,0,2052072.23,275,12,0.04363636363636364
2023Q1,23,263,1,1934496.81,275,13,0.04727272727272727
2023Q1,24,215,0,1845105.24,275,13,0.04727272727272727
2023Q1,25,215,0,1764954.82,275,13,0.04727272727272727
2023Q1,26,215,1,1685702.77,275,14,0.05090909090909091
2023Q1,27,214,0,1604261.57,275,14,0.05090909090909091
2023Q1,28,214,0,1524621.54,275,14,0.05090909090909091
2023Q1,29,214,1,1444891.02,275,15,0.05454545454545454
2023Q1,30,213,0,1362598.29,275,15,0.05454545454545454
2023Q1,31,213,0,1283436.41,275,15,0.05454545454545454
2023Q1,32,213,0,1204319.29,275,15,0.05454545454545454
2023Q1,33,213,1,1124675.63,275,16,0.05818181818181818
2023Q1,34,212,0,1041305.03,275,16,0.05818181818181818
2023Q1,35,212,0,962028.54,275,16,0.05818181818181818
2023Q1,36,166,0,907802.64,275,16,0.05818181818181818
2023Q1,37,166,1,858968.84,275,17,0.06181818181818182
2023Q1,38,165,1,807993.85,275,18,0.06545454545454546
2023Q1,39,164,2,753172.35,275,20,0.07272727272727272
2023Q1,40,162,1,693618.65,275,21,0.07636363636363637
2023Q1,41,161,1,643888.11,275,22,0.08
2023Q1,42,107,1,394169.95,275,23,0.08363636363636363
2023Q1,43,52,0,147633.86,275,23,0.08363636363636363
2023Q2,0,225,0,4240506.38,225,0,0.0
2023Q2,1,225,0,4128576.17,225,0,0.0
2023Q2,2,225,0,4017144.45,225,0,0.0
2023Q2,3,225,0,3905823.29,225,0,0.0
2023Q2,4,225,0,3794535.02,225,0,0.0
2023Q2,5,225,0,3683323.08,225,0,0.0
2023Q2,6,225,0,3572815.1,225,0,0.0
2023Q2,7,225,1,3463317.91,225,1,0.0044444444444444444
2023Q2,8,224,2,3332209.24,225,3,0.013333333333333334
2023Q2,9,222,1,3184528.63,225,4,0.017777777777777778
2023Q2,10,221,1,3054017.83,225,5,0.022222222222222223
2023Q2,11,220,0,2932178.29,225,5,0.022222222222222223
2023Q2,12,220,0,2823392.62,225,5,0.022222222222222223
2023Q2,13,220,0,2715416.83,225,5,0.022222222222222223
2023Q2,14,220,1,2607702.45,225,6,0.02666666666666667
2023Q2,15,219,1,2495364.59,225,7,0.03111111111111111
2023Q2,16,218,1,2369478.6,225,8,0.035555555555555556
2023Q2,17,217,0,2251026.8,225,8,0.035555555555555556
2023Q2,18,217,0,2143705.76,225,8,0.035555555555555556
2023Q2,19,217,0,2036648.05,225,8,0.035555555555555556
2023Q2,20,217,0,1930417.5,225,8,0.035555555555555556
2023Q2,21,217,1,1825007.76,225,9,0.04
2023Q2,22,216,1,1701427.34,225,10,0.044444444444444446
2023Q2,23,215,1,1592820.91,225,11,0.04888888888888889
2023Q2,24,168,0,1505606.5,225,11,0.04888888888888889
2023Q2,25,168,0,1441008.77,225,11,0.04888888888888889
2023Q2,26,168,0,1376035.56,225,11,0.04888888888888889
2023Q2,27,168,0,1311580.17,225,11,0.04888888888888889
2023Q2,28,168,0,1247431.14,225,11,0.04888888888888889
2023Q2,29,168,0,1183665.58,225,11,0.04888888888888889
2023Q2,30,168,2,1120243.57,225,13,0.057777777777777775
2023Q2,31,166,1,1040492.49,225,14,0.06222222222222222
2023Q2,32,165,0,974374.93,225,14,0.06222222222222222
2023Q2,33,165,0,911676.39,225,14,0.06222222222222222
2023Q2,34,165,0,848919.83,225,14,0.06222222222222222
2023Q2,35,165,1,786646.12,225,15,0.06666666666666667
2023Q2,36,133,0,734711.82,225,15,0.06666666666666667
2023Q2,37,133,0,692582.86,225,15,0.06666666666666667
2023Q2,38,133,0,651063.85,225,15,0.06666666666666667
2023Q2,39,97,2,469280.61,225,17,0.07555555555555556
2023Q2,40,46,0,213203.16,225,17,0.07555555555555556
2023Q3,0,259,0,4735976.18,259,0,0.0
2023Q3,1,259,0,4622426.01,259,0,0.0
2023Q3,2,259,0,4508976.38,259,0,0.0
2023Q3,3,259,0,4396078.93,259,0,0.0
2023Q3,4,259,1,4283033.63,259,1,0.003861003861003861
2023Q3,5,258,1,4156745.51,259,2,0.007722007722007722
2023Q3,6,257,0,4008592.96,259,2,0.007722007722007722
2023Q3,7,257,0,3895454.14,259,2,0.007722007722007722
2023Q3,8,257,1,3782771.12,259,3,0.011583011583011582
2023Q3,9,256,0,3658560.36,259,3,0.011583011583011582
2023Q3,10,256,1,3548543.7,259,4,0.015444015444015444
2023Q3,11,255,2,3433905.2800000003,259,6,0.023166023166023165
2023Q3,12,253,1,3271686.06,259,7,0.02702702702702703
2023Q3,13,252,0,3161045.04,259,7,0.02702702702702703
2023Q3,14,252,2,3052875.01,259,9,0.03474903474903475
2023Q3,15,250,0,2928925.36,259,9,0.03474903474903475
2023Q3,16,250,2,2821024.69,259,11,0.04247104247104247
2023Q3,17,248,0,2680826.35,259,11,0.04247104247104247
2023Q3,18,248,0,2572984.96,259,11,0.04247104247104247
2023Q3,19,248,0,2465094.54,259,11,0.04247104247104247
2023Q3,20,248,2,2357864.81,259,13,0.05019305019305019
2023Q3,21,246,0,2232022.89,259,13,0.05019305019305019
2023Q3,22,246,1,2125387.49,259,14,0.05405405405405406
2023Q3,23,245,0,1981474.12,259,14,0.05405405405405406
2023Q3,24,208,0,1901355.93,259,14,0.05405405405405406
2023Q3,25,208,1,1824173.97,259,15,0.05791505791505792
2023Q3,26,207,0,1729419.15,259,15,0.05791505791505792
2023Q3,27,207,1,1652326.78,259,16,0.06177606177606178
2023Q3,28,206,1,1566209.82,259,17,0.06563706563706563
2023Q3,29,205,0,1459758.49,259,17,0.06563706563706563
2023Q3,30,205,0,1382489.21,259,17,0.06563706563706563
2023Q3,31,205,0,1305220.38,259,17,0.06563706563706563
2023Q3,32,205,1,1228138.47,259,18,0.0694980694980695
2023Q3,33,204,0,1148872.09,259,18,0.0694980694980695
2023Q3,34,204,0,1072563.62,259,18,0.0694980694980695
2023Q3,35,204,0,996511.05,259,18,0.0694980694980695
2023Q3,36,108,0,592049.08,259,18,0.0694980694980695
2023Q3,37,50,0,262015.86,259,18,0.0694980694980695
2023Q4,0,270,0,4647971.07,270,0,0.0
2023Q4,1,270,0,4518043.45,270,0,0.0
2023Q4,2,270,0,4388485.73,270,0,0.0
2023Q4,3,270,0,4259015.18,270,0,0.0
2023Q4,4,270,2,4130316.85,270,2,0.007407407407407408
2023Q4,5,268,0,3960144.71,270,2,0.007407407407407408
2023Q4,6,268,0,3832779.26,270,2,0.007407407407407408
2023Q4,7,268,1,3705697.82,270,3,0.011111111111111112
2023Q4,8,267,0,3569998.21,270,3,0.011111111111111112
2023Q4,9,267,1,3443728.5,270,4,0.014814814814814815
2023Q4,10,266,0,3293083.72,270,4,0.014814814814814815
2023Q4,11,266,1,3168384.43,270,5,0.018518518518518517
2023Q4,12,265,1,3032908.29,270,6,0.022222222222222223
2023Q4,13,264,2,2886043.92,270,8,0.02962962962962963
