reporting_month,active_accounts,exposure,balance_30_plus,balance_90_plus,defaults,write_offs,recoveries,expected_loss,average_pd,balance_30_plus_rate,balance_90_plus_rate,expected_loss_rate
2024-09-30,2662,28711282.6,671257.39,260181.81,12,123021.24,9895.45,901071.96,0.0639926581517656,0.023379568211975316,0.009062005819273291,0.03138389784091359
2024-10-31,2616,27410711.29,556417.35,214022.41999999998,10,96580.0,8370.16,859547.01,0.06372749617737003,0.020299267104498402,0.007807984905451171,0.03135807024145268
2024-11-30,2578,26165022.01,568186.27,153603.48,4,44056.619999999995,2341.02,819674.87,0.06383252482544609,0.021715489854464677,0.005870565671272677,0.0313271232749863
2024-12-31,2543,24995689.75,577598.47,176687.21,5,66804.23999999999,4705.7,783542.11,0.0636730314589068,0.02310792283697632,0.007068707115793833,0.03134708895160614
2025-01-31,2514,23822060.04,568751.92,175839.26,7,96326.08,9811.390000000001,747136.28,0.06372164876690532,0.02387500992966182,0.007381362472630222,0.03136321034979644
2025-02-28,2468,22648437.42,501701.43,116742.56,4,37374.34,3172.64,694706.77,0.06260557617504052,0.02215170171329197,0.005154552512170616,0.030673496679577993
2025-03-31,2429,21570894.28,525322.33,167217.63,4,20742.940000000002,1367.21,643798.98,0.06091011527377522,0.024353293988699662,0.007752002667550045,0.029845725060963953
2025-04-30,2391,20534210.03,566861.08,157526.28,10,93019.85,7298.23,613499.53,0.061018759933082395,0.027605692119240487,0.007671406875154086,0.029876948229500502
2025-05-31,2362,19448716.87,579908.33,70473.09,5,41934.05,3824.59,572798.88,0.06000815707027943,0.029817305371673083,0.003623534162744999,0.029451756834588543
2025-06-30,2321,18428361.53,538496.43,185138.4,4,9690.11,611.43,527275.21,0.05828684360189573,0.029221069335077236,0.010046384194200253,0.02861215898883008
2025-07-31,2288,17478374.97,519179.15,242785.76,11,132979.53,11560.73,500649.19,0.058242545017482515,0.029704085814105868,0.013890636882245582,0.028643920894208853
2025-08-31,2245,16429789.28,434535.1,136377.55,1,7017.55,724.4,456976.18,0.056580469042316256,0.02644800201600638,0.008300626847723027,0.027813879545995006
2025-09-30,2208,15529769.06,354437.57,141017.25,5,83532.32,5409.18,424589.46,0.0556371865942029,0.022823106295439013,0.009080447330232224,0.02734035891709519
2025-10-31,2151,14590888.12,303612.67,114410.86,5,39641.0,2156.04,399668.05,0.05569347466294747,0.020808374891438754,0.007841254011342527,0.02739161911961806
2025-11-30,2093,13737767.96,244194.24,88309.39,3,54666.630000000005,2731.1900000000005,375830.92,0.05579951122790253,0.017775394133240256,0.006428219653813398,0.02735749512543084
2025-12-31,2043,12895887.79,204289.2,56393.81,4,16882.04,2250.1000000000004,352556.66,0.05557530347528145,0.015841421957658024,0.004373007187898306,0.027338688560347654
2026-01-31,1997,12116465.16,200298.93,41303.25,0,0.0,0.0,331376.14,0.055545297946920376,0.016531135719454335,0.003408853114714853,0.027349242177823422
2026-02-28,1952,11394217.6,224565.18,94545.66,3,18480.34,1442.62,324984.81,0.05788390829918033,0.019708696804245692,0.00829768776752166,0.028521906585319206
2026-03-31,1917,10669846.76,255805.57,84687.33,7,32482.76,2390.8,311392.1,0.05932696087636932,0.02397462454278022,0.00793707087879489,0.02918430854765153
2026-04-30,1861,9967283.82,286118.48,67572.76000000001,4,45134.43,3609.26,297493.42,0.060770838259000544,0.028705762288607127,0.006779455789591432,0.029846989949564813
2026-05-31,1809,9284524.23,251726.12,69710.28,2,5858.38,548.15,286772.43,0.0628571586511885,0.027112441495561693,0.007508223175804022,0.030887143260759198
2026-06-30,1768,8672420.04,273964.44,86229.87,8,49102.53,4081.6,269670.57,0.0633850757918552,0.03159031028667749,0.009942999716605056,0.031095192432584254
2026-07-31,1721,8049973.34,230165.72,97505.87,4,13854.61,774.65,250421.19,0.06365424578733295,0.028592109598216384,0.0121125705492088,0.0311083253848391
2026-08-31,1675,7489075.53,214626.97,129013.19,8,78034.98,6118.24,232814.02,0.0636658,0.02865867344243489,0.0172268512292598,0.031087150752771214
