age,loan_amount,duration_months,savings_months,arrears_12m,debt_to_income,purpose,employment_status,credit_history,default_flag
22,21907,12,0,2,0.578,car,permanent,minor_arrears,0
31,8185,6,6,0,0.336,home_improvement,permanent,clean,0
64,18506,48,0,0,0.22,car,permanent,clean,1
25,6828,36,3,0,0.221,home_improvement,casual,clean,1
41,11856,6,0,1,0.216,consumer_goods,self_employed,minor_arrears,1
31,7305,6,1,0,0.207,car,casual,clean,0
26,10302,24,1,0,0.115,car,casual,minor_arrears,0
41,8255,18,6,0,0.08,education,permanent,clean,0
46,5210,24,6,0,0.289,education,self_employed,clean,0
29,10544,24,0,0,0.225,small_business,permanent,minor_arrears,0
24,12379,48,12,0,0.497,home_improvement,permanent,clean,0
27,13854,18,12,1,0.367,consumer_goods,permanent,clean,0
52,9674,36,1,1,0.362,small_business,permanent,prior_default,0
63,1461,6,6,1,0.201,home_improvement,permanent,clean,0
29,10897,60,3,1,0.301,consumer_goods,permanent,clean,1
36,3411,60,0,0,0.378,car,permanent,clean,1
37,9380,36,3,0,0.435,car,casual,clean,1
38,10268,24,0,0,0.305,car,permanent,minor_arrears,0
32,2209,12,12,0,0.493,small_business,permanent,clean,0
23,8548,36,24,1,0.321,home_improvement,self_employed,restructured,1
46,2789,36,12,0,0.447,car,contractor,minor_arrears,0
38,1401,12,3,0,0.242,home_improvement,permanent,prior_default,0
37,2742,24,3,0,0.03,car,permanent,minor_arrears,0
33,7829,24,24,1,0.363,small_business,self_employed,restructured,1
66,7509,36,1,0,0.436,home_improvement,permanent,clean,0
50,5925,36,0,1,0.412,education,permanent,clean,0
41,12067,36,3,2,0.388,education,self_employed,clean,0
31,7209,36,1,0,0.264,small_business,permanent,minor_arrears,0
60,10991,18,1,0,0.191,education,contractor,clean,0
64,13770,18,0,0,0.408,car,casual,minor_arrears,1
22,32669,6,3,1,0.388,car,casual,clean,0
66,7919,36,1,0,0.23,consumer_goods,permanent,minor_arrears,1
55,17769,24,1,1,0.498,consumer_goods,permanent,clean,0
25,9878,24,0,0,0.179,small_business,permanent,prior_default,0
57,10260,18,1,0,0.227,car,permanent,clean,0
26,7993,12,12,0,0.582,consumer_goods,contractor,clean,0
23,9313,24,1,0,0.459,consumer_goods,permanent,minor_arrears,0
26,7255,12,6,0,0.263,small_business,casual,minor_arrears,0
43,15833,12,6,0,0.366,home_improvement,contractor,minor_arrears,1
51,5023,36,1,0,0.345,car,contractor,prior_default,0
40,2724,18,12,0,0.02,car,permanent,clean,0
26,5789,24,6,0,0.175,consumer_goods,permanent,minor_arrears,0
30,5365,24,3,0,0.312,home_improvement,self_employed,clean,0
62,5787,36,0,0,0.263,car,casual,clean,0
68,7708,18,0,0,0.36,education,contractor,clean,0
57,5802,36,24,1,0.501,home_improvement,self_employed,clean,0
26,7634,48,6,0,0.269,car,contractor,clean,0
61,5815,36,24,1,0.151,consumer_goods,permanent,minor_arrears,0
54,11144,24,12,0,0.372,consumer_goods,casual,clean,0
46,32482,36,0,0,0.268,small_business,permanent,restructured,1
28,9746,24,6,0,0.295,home_improvement,casual,clean,0
69,5983,24,3,0,0.273,small_business,self_employed,clean,0
42,1479,24,6,1,0.679,small_business,permanent,minor_arrears,0
23,25876,18,0,0,0.02,small_business,permanent,clean,1
31,10113,12,1,0,0.258,car,permanent,clean,1
40,7587,24,6,0,0.319,home_improvement,self_employed,minor_arrears,0
24,1526,12,6,0,0.195,car,permanent,clean,0
36,7862,24,6,0,0.464,home_improvement,permanent,clean,0
43,9260,24,1,0,0.45,education,permanent,minor_arrears,0
67,5830,48,1,1,0.312,car,permanent,clean,0
25,3102,6,24,0,0.277,car,permanent,minor_arrears,0
49,2958,36,3,0,0.302,small_business,permanent,minor_arrears,0
65,26136,24,3,0,0.303,car,permanent,clean,0
60,9081,6,3,1,0.307,consumer_goods,permanent,clean,0
66,5826,18,3,1,0.29,small_business,permanent,clean,0
29,8720,12,3,1,0.36,education,permanent,minor_arrears,1
60,8322,12,3,0,0.441,small_business,permanent,clean,0
68,2855,18,12,1,0.123,car,casual,prior_default,0
36,15167,24,12,0,0.152,consumer_goods,permanent,clean,0
45,7452,24,24,1,0.04,home_improvement,permanent,minor_arrears,0
47,9166,6,3,0,0.459,consumer_goods,permanent,clean,0
45,20773,12,3,1,0.36,car,permanent,clean,0
35,3169,12,6,0,0.401,home_improvement,permanent,clean,0
68,4840,24,12,2,0.091,home_improvement,permanent,clean,0
67,10475,18,3,0,0.606,consumer_goods,contractor,prior_default,1
39,14975,24,6,1,0.223,home_improvement,permanent,clean,0
60,5448,12,6,0,0.347,home_improvement,permanent,clean,0
40,5670,6,6,0,0.457,car,permanent,clean,0
59,12778,60,6,2,0.162,education,permanent,clean,0
49,30893,12,1,0,0.233,home_improvement,permanent,restructured,0
44,8917,12,3,0,0.349,home_improvement,contractor,restructured,1
27,4829,12,3,0,0.777,car,contractor,restructured,0
53,3882,60,0,0,0.368,consumer_goods,permanent,clean,0
36,7693,24,12,0,0.577,consumer_goods,permanent,clean,0
31,14533,24,6,0,0.513,car,permanent,minor_arrears,0
30,39526,60,0,1,0.379,home_improvement,permanent,clean,1
69,6835,12,12,1,0.162,car,casual,minor_arrears,0
26,8926,60,6,0,0.49,small_business,permanent,clean,0
60,23419,12,6,0,0.08,education,permanent,clean,0
63,10361,36,3,0,0.576,small_business,self_employed,restructured,1
22,9792,24,12,0,0.352,small_business,permanent,clean,0
49,20607,24,3,0,0.02,consumer_goods,permanent,prior_default,0
49,9068,48,3,0,0.266,car,casual,clean,0
38,4115,12,0,0,0.425,consumer_goods,permanent,clean,0
53,17983,60,6,0,0.282,car,permanent,clean,0
41,2532,18,6,0,0.434,car,permanent,clean,0
42,16082,36,3,0,0.184,home_improvement,self_employed,clean,0
42,8454,60,3,0,0.111,education,permanent,clean,1
60,6885,6,12,0,0.309,consumer_goods,permanent,minor_arrears,0
52,6763,48,6,0,0.325,consumer_goods,permanent,restructured,0
39,7672,24,1,0,0.264,education,permanent,clean,1
66,6209,36,24,0,0.516,consumer_goods,casual,clean,1
60,11375,12,6,1,0.184,education,permanent,clean,0
66,6363,24,24,0,0.37,home_improvement,casual,minor_arrears,0
56,8497,36,24,0,0.331,car,casual,clean,0
40,1884,24,12,0,0.071,consumer_goods,contractor,clean,0
58,8459,12,6,0,0.109,car,permanent,clean,0
37,6123,18,6,1,0.322,car,contractor,clean,0
34,15328,48,0,0,0.637,home_improvement,casual,clean,1
43,7084,6,3,0,0.413,consumer_goods,permanent,clean,0
68,13915,36,6,0,0.044,consumer_goods,contractor,prior_default,1
48,12902,60,3,0,0.02,consumer_goods,contractor,clean,0
39,13135,6,12,0,0.437,consumer_goods,permanent,clean,0
43,7260,12,0,0,0.305,consumer_goods,self_employed,clean,1
35,8838,36,3,1,0.503,home_improvement,permanent,clean,0
53,11176,6,3,1,0.179,education,casual,clean,0
38,9023,24,3,1,0.376,consumer_goods,self_employed,clean,0
48,7095,36,0,0,0.455,small_business,permanent,clean,0
39,4390,24,0,1,0.248,education,contractor,minor_arrears,0
36,8564,18,12,1,0.252,car,permanent,clean,0
68,2731,36,3,0,0.324,consumer_goods,contractor,restructured,0
37,1798,24,0,0,0.407,car,casual,clean,0
24,3699,12,0,0,0.318,consumer_goods,permanent,clean,0
39,13036,24,3,2,0.476,car,permanent,prior_default,1
47,9925,48,0,0,0.246,car,permanent,minor_arrears,0
25,13121,36,6,0,0.107,consumer_goods,permanent,clean,0
35,5156,24,6,0,0.636,car,permanent,restructured,0
29,16344,18,1,0,0.223,car,permanent,clean,0
45,2960,12,3,1,0.229,small_business,permanent,clean,0
56,3799,18,0,1,0.309,consumer_goods,permanent,minor_arrears,0
68,16161,6,1,0,0.331,car,casual,minor_arrears,0
40,9451,60,12,0,0.258,education,casual,clean,1
63,13173,12,3,1,0.317,consumer_goods,contractor,clean,0
31,9953,36,12,0,0.314,consumer_goods,permanent,clean,0
59,5687,12,1,0,0.348,home_improvement,self_employed,clean,0
48,3481,18,1,1,0.02,car,casual,prior_default,0
58,2103,24,3,0,0.621,car,permanent,clean,0
58,24681,18,3,1,0.296,car,permanent,clean,0
47,2464,36,24,0,0.413,car,casual,clean,0
33,20167,60,0,0,0.1,small_business,permanent,clean,0
46,9105,48,12,0,0.245,car,permanent,clean,0
61,10159,12,12,0,0.212,home_improvement,self_employed,prior_default,1
68,9721,36,3,0,0.555,small_business,permanent,minor_arrears,0
66,12116,12,1,0,0.226,small_business,permanent,minor_arrears,1
29,4808,48,3,0,0.441,car,self_employed,clean,1
50,1653,24,1,0,0.216,consumer_goods,casual,clean,0
26,5603,18,6,0,0.248,small_business,permanent,clean,0
53,11452,12,3,0,0.281,small_business,self_employed,clean,0
69,3826,6,24,0,0.525,car,self_employed,clean,0
23,16604,18,6,0,0.02,car,permanent,minor_arrears,0
53,7770,48,3,1,0.109,consumer_goods,casual,restructured,0
67,3575,36,6,0,0.02,education,permanent,clean,0
62,9389,60,3,0,0.146,education,permanent,clean,0
40,11325,12,12,0,0.19,home_improvement,casual,minor_arrears,0
26,11869,24,1,0,0.062,small_business,permanent,clean,1
66,16173,18,24,0,0.203,consumer_goods,casual,restructured,0
66,2800,24,12,1,0.02,education,contractor,clean,0
49,16187,18,12,0,0.157,consumer_goods,permanent,clean,0
68,17157,18,3,0,0.512,car,casual,clean,0
21,3487,24,12,0,0.385,home_improvement,permanent,restructured,1
51,4007,12,1,1,0.35,small_business,contractor,clean,0
22,13610,24,6,1,0.16,car,permanent,minor_arrears,0
66,6391,36,0,0,0.074,car,casual,clean,0
54,18804,12,1,0,0.138,home_improvement,casual,clean,0
65,22213,48,3,0,0.313,consumer_goods,permanent,restructured,1
48,3572,24,1,1,0.459,small_business,casual,clean,1
25,4740,36,3,0,0.464,consumer_goods,casual,clean,0
22,9064,36,12,1,0.421,consumer_goods,casual,clean,0
37,1626,36,1,0,0.202,home_improvement,contractor,restructured,0
57,2145,36,6,0,0.324,consumer_goods,self_employed,clean,0
28,4361,48,0,1,0.269,car,permanent,clean,1
62,27165,24,6,1,0.288,car,permanent,prior_default,1
32,10018,18,6,0,0.646,consumer_goods,permanent,minor_arrears,0
45,5306,12,3,1,0.038,consumer_goods,contractor,restructured,0
30,3984,24,6,0,0.282,car,permanent,minor_arrears,0
43,3458,12,12,0,0.514,home_improvement,permanent,minor_arrears,0
43,5585,18,12,0,0.085,small_business,permanent,clean,0
21,5361,12,3,1,0.217,consumer_goods,self_employed,clean,1
48,7210,24,3,0,0.235,small_business,permanent,minor_arrears,0
59,11686,12,6,0,0.284,home_improvement,casual,minor_arrears,0
66,7997,24,1,1,0.065,education,permanent,prior_default,0
37,14144,36,12,2,0.415,home_improvement,self_employed,clean,1
64,6856,36,1,1,0.427,small_business,permanent,clean,0
64,23304,18,12,0,0.401,consumer_goods,permanent,clean,0
69,13920,24,0,0,0.181,home_improvement,contractor,clean,0
39,9834,24,0,1,0.334,car,self_employed,clean,1
62,11712,24,24,2,0.176,car,permanent,minor_arrears,0
48,5693,36,12,1,0.267,consumer_goods,permanent,clean,0
23,7129,12,12,0,0.665,consumer_goods,contractor,clean,0
34,6939,60,24,0,0.335,car,contractor,clean,0
53,4868,12,3,0,0.13,car,permanent,minor_arrears,0
28,3048,36,1,1,0.349,small_business,permanent,restructured,1
42,12135,24,0,0,0.104,car,contractor,clean,0
58,15621,18,3,0,0.128,consumer_goods,contractor,clean,0
28,11016,36,1,0,0.153,education,contractor,clean,1
45,7981,12,24,0,0.249,car,casual,clean,0
31,30118,36,0,0,0.47,consumer_goods,permanent,clean,0
47,5259,24,0,1,0.413,car,self_employed,restructured,0
32,10060,12,1,1,0.404,education,contractor,restructured,0
68,17095,12,1,1,0.144,car,contractor,clean,0
24,3720,36,1,0,0.233,car,permanent,clean,0
68,12754,18,6,0,0.364,car,permanent,clean,0
59,24287,48,1,0,0.219,car,contractor,clean,0
62,8441,36,6,0,0.275,car,permanent,clean,0
62,9464,36,12,1,0.391,car,self_employed,minor_arrears,1
30,5281,18,6,0,0.264,small_business,permanent,clean,0
66,11624,36,6,0,0.356,small_business,casual,minor_arrears,0
50,4783,60,1,0,0.575,education,self_employed,clean,0
68,8102,12,0,0,0.293,education,permanent,minor_arrears,0
64,2787,18,1,0,0.509,home_improvement,permanent,minor_arrears,0
49,1265,12,24,2,0.409,consumer_goods,casual,clean,0
39,6051,24,6,0,0.085,consumer_goods,casual,clean,0
26,5983,36,1,0,0.144,car,permanent,minor_arrears,0
25,6422,24,3,0,0.187,car,casual,clean,0
40,13647,24,12,0,0.183,car,self_employed,clean,0
60,15907,18,6,1,0.306,car,permanent,clean,0
45,10345,12,3,0,0.418,home_improvement,permanent,clean,0
44,13025,18,12,1,0.521,home_improvement,permanent,minor_arrears,0
32,4882,48,6,1,0.369,car,permanent,clean,0
48,4080,24,6,0,0.249,education,permanent,clean,0
52,11780,18,1,2,0.02,home_improvement,permanent,clean,0
69,3685,36,0,0,0.331,car,casual,minor_arrears,0
56,3398,12,24,1,0.324,consumer_goods,permanent,minor_arrears,0
50,40360,18,3,0,0.349,car,self_employed,clean,0
65,8817,12,3,0,0.657,consumer_goods,permanent,clean,0
41,5986,60,3,0,0.518,car,permanent,clean,1
66,5515,36,0,0,0.446,consumer_goods,contractor,clean,0
39,2843,24,12,0,0.166,consumer_goods,self_employed,clean,0
27,10199,6,1,1,0.238,consumer_goods,permanent,clean,0
41,6844,12,12,1,0.305,consumer_goods,permanent,clean,0
27,15615,36,3,1,0.196,consumer_goods,permanent,minor_arrears,0
26,12025,18,1,0,0.4,small_business,permanent,clean,0
64,6683,48,0,1,0.377,consumer_goods,permanent,minor_arrears,0
59,1879,36,12,0,0.146,car,permanent,clean,0
31,8833,24,0,0,0.511,home_improvement,permanent,clean,0
62,8301,36,0,0,0.336,home_improvement,permanent,clean,0
24,1653,60,6,1,0.043,consumer_goods,self_employed,minor_arrears,0
34,11124,24,1,0,0.312,home_improvement,casual,minor_arrears,0
55,3596,36,3,0,0.365,education,permanent,clean,0
35,16146,48,1,0,0.476,small_business,permanent,minor_arrears,0
56,7960,18,12,1,0.266,car,permanent,clean,0
63,5406,48,1,1,0.452,car,permanent,clean,1
24,9692,12,1,0,0.35,home_improvement,contractor,clean,1
22,9292,36,1,1,0.11,home_improvement,contractor,clean,0
67,9063,36,1,0,0.094,car,self_employed,clean,0
46,14782,24,1,0,0.5,education,self_employed,restructured,1
45,10092,24,0,0,0.511,education,self_employed,clean,0
43,5070,24,0,1,0.372,education,self_employed,clean,0
42,6990,12,3,1,0.559,education,permanent,clean,0
54,19937,12,12,0,0.489,small_business,permanent,clean,1
49,4753,18,0,1,0.429,education,permanent,clean,1
29,11005,24,1,0,0.174,consumer_goods,casual,restructured,1
51,15137,24,12,0,0.597,consumer_goods,permanent,minor_arrears,0
53,11717,18,12,2,0.406,home_improvement,contractor,clean,0
26,8870,48,6,0,0.258,education,casual,minor_arrears,0
39,9820,18,1,0,0.213,home_improvement,permanent,clean,1
59,12209,24,3,0,0.361,consumer_goods,permanent,clean,0
51,4713,24,1,0,0.053,small_business,permanent,clean,0
27,8338,12,0,0,0.432,consumer_goods,permanent,clean,0
22,30009,36,1,0,0.167,home_improvement,contractor,clean,0
49,11230,24,3,0,0.379,small_business,casual,minor_arrears,1
43,9084,6,1,0,0.237,education,contractor,clean,0
68,6511,60,6,0,0.278,small_business,permanent,restructured,1
46,4751,36,1,0,0.199,car,permanent,minor_arrears,0
66,10041,36,1,1,0.294,small_business,permanent,minor_arrears,0
31,10511,48,6,1,0.622,consumer_goods,contractor,clean,0
42,7962,48,12,0,0.542,car,contractor,restructured,0
27,37728,18,1,0,0.377,small_business,permanent,clean,0
49,5049,24,3,0,0.316,car,self_employed,clean,0
30,4248,24,1,0,0.455,small_business,permanent,clean,0
45,6576,18,0,2,0.501,car,self_employed,restructured,1
37,8137,12,6,0,0.187,consumer_goods,permanent,clean,0
30,4578,12,0,1,0.308,car,permanent,clean,0
25,9880,36,3,0,0.028,consumer_goods,contractor,minor_arrears,0
46,10602,36,3,1,0.5,consumer_goods,permanent,clean,0
67,13164,36,1,0,0.65,small_business,permanent,restructured,1
30,5860,18,0,0,0.333,consumer_goods,permanent,clean,0
40,18883,12,1,0,0.02,consumer_goods,permanent,clean,0
32,12592,24,24,0,0.417,consumer_goods,casual,clean,0
60,4976,24,6,1,0.175,car,contractor,clean,0
41,4564,48,3,1,0.214,small_business,contractor,clean,0
68,6890,48,0,1,0.42,car,permanent,clean,0
33,10620,48,6,0,0.361,small_business,permanent,clean,1
24,11656,48,0,0,0.242,car,permanent,minor_arrears,0
49,12577,60,3,0,0.216,home_improvement,permanent,restructured,1
52,28804,24,6,1,0.34,home_improvement,permanent,clean,0
69,2252,6,3,1,0.254,home_improvement,self_employed,clean,1
63,7814,12,1,0,0.143,home_improvement,self_employed,clean,1
64,27298,24,0,0,0.267,consumer_goods,contractor,restructured,1
52,13558,18,0,1,0.374,consumer_goods,permanent,minor_arrears,0
38,4064,12,3,0,0.292,home_improvement,permanent,clean,0
42,9551,60,12,1,0.094,small_business,permanent,clean,1
27,7501,12,1,0,0.478,consumer_goods,permanent,restructured,0
42,7318,60,3,0,0.02,car,permanent,restructured,0
38,5782,36,6,0,0.249,car,permanent,clean,1
22,9040,36,0,0,0.221,car,permanent,minor_arrears,0
31,16695,36,0,0,0.344,small_business,self_employed,clean,0
47,6150,18,1,0,0.41,home_improvement,permanent,clean,0
39,12638,36,6,0,0.5,consumer_goods,self_employed,minor_arrears,0
69,14093,12,3,0,0.206,small_business,permanent,clean,0
44,18785,48,6,0,0.414,education,casual,clean,0
67,4509,18,12,0,0.351,consumer_goods,permanent,restructured,0
53,8566,18,6,0,0.046,consumer_goods,permanent,minor_arrears,0
22,5325,36,24,0,0.624,car,permanent,clean,0
30,9051,36,6,0,0.09,education,permanent,clean,0
55,9011,24,12,0,0.387,education,self_employed,minor_arrears,0
47,3754,36,12,2,0.382,car,permanent,clean,1
35,9411,12,6,0,0.364,car,casual,prior_default,1
46,29714,36,12,0,0.241,consumer_goods,permanent,minor_arrears,0
65,11686,18,24,1,0.452,home_improvement,permanent,clean,0
40,3233,18,3,0,0.07,education,permanent,clean,0
23,4313,12,6,0,0.309,small_business,permanent,minor_arrears,0
36,8275,18,3,0,0.23,home_improvement,self_employed,prior_default,1
66,4384,18,12,0,0.212,consumer_goods,contractor,clean,0
58,18149,24,3,2,0.389,consumer_goods,contractor,clean,0
62,2968,12,12,0,0.492,home_improvement,permanent,minor_arrears,0
65,11739,12,6,0,0.265,education,permanent,clean,0
26,2552,24,24,0,0.445,consumer_goods,self_employed,clean,0
34,8187,12,1,0,0.328,small_business,permanent,restructured,0
23,3946,36,6,0,0.177,consumer_goods,permanent,minor_arrears,0
21,13146,60,6,2,0.279,car,permanent,restructured,1
61,16251,24,24,0,0.272,consumer_goods,contractor,minor_arrears,0
66,10599,48,12,0,0.209,small_business,casual,clean,0
28,16730,12,3,0,0.389,car,contractor,restructured,0
56,1432,6,3,0,0.358,small_business,contractor,clean,0
47,9332,36,0,0,0.065,small_business,permanent,clean,0
24,11631,36,24,0,0.056,car,self_employed,restructured,1
65,12619,48,1,1,0.388,home_improvement,permanent,minor_arrears,0
63,11188,6,6,0,0.19,consumer_goods,casual,restructured,0
48,12798,36,6,0,0.368,education,permanent,clean,0
55,9261,18,3,1,0.445,home_improvement,self_employed,prior_default,0
40,3256,18,1,0,0.117,home_improvement,permanent,clean,0
59,5752,12,1,0,0.094,education,permanent,minor_arrears,0
42,18208,60,12,0,0.588,consumer_goods,permanent,restructured,0
69,16925,12,3,1,0.376,consumer_goods,permanent,clean,0
24,11492,36,0,1,0.253,car,permanent,minor_arrears,1
29,13326,36,6,0,0.171,consumer_goods,casual,minor_arrears,1
68,15674,36,1,0,0.238,consumer_goods,permanent,minor_arrears,1
35,11406,36,12,0,0.13,education,self_employed,restructured,0
36,17881,48,1,0,0.461,consumer_goods,permanent,minor_arrears,0
59,17507,12,1,0,0.196,car,casual,clean,0
30,35570,6,0,0,0.495,consumer_goods,permanent,clean,1
46,5922,24,3,2,0.256,small_business,casual,prior_default,0
35,5997,18,3,0,0.153,small_business,casual,prior_default,0
30,10857,12,6,1,0.252,car,permanent,prior_default,1
68,26298,12,3,1,0.02,consumer_goods,self_employed,clean,0
30,18778,18,1,1,0.301,car,permanent,clean,1
25,14398,12,1,0,0.293,car,permanent,minor_arrears,0
54,19593,6,1,0,0.452,car,casual,minor_arrears,0
63,11767,48,24,0,0.02,consumer_goods,contractor,clean,0
27,6947,18,0,2,0.506,car,permanent,clean,0
55,30409,60,24,0,0.451,consumer_goods,permanent,clean,0
47,11210,60,1,0,0.52,small_business,self_employed,clean,1
61,17266,12,0,0,0.312,car,contractor,clean,0
27,1427,36,1,0,0.482,car,self_employed,clean,0
68,1584,24,0,1,0.085,car,permanent,clean,0
51,9528,36,6,0,0.434,small_business,casual,restructured,1
62,4385,12,3,0,0.197,consumer_goods,permanent,minor_arrears,0
38,10119,12,1,0,0.056,car,self_employed,restructured,0
67,5991,12,6,0,0.14,consumer_goods,permanent,clean,0
51,38802,24,6,0,0.321,car,contractor,clean,0
27,16398,60,24,0,0.188,consumer_goods,permanent,clean,0
66,20796,36,24,0,0.38,consumer_goods,casual,clean,0
59,1776,36,6,0,0.031,consumer_goods,casual,clean,0
35,14273,60,12,1,0.02,small_business,permanent,minor_arrears,0
47,7521,36,6,0,0.54,consumer_goods,self_employed,minor_arrears,1
40,21048,6,3,0,0.465,car,permanent,restructured,0
47,12958,48,6,1,0.152,car,casual,clean,1
68,8286,18,0,0,0.32,car,permanent,clean,0
65,3507,6,6,0,0.483,home_improvement,permanent,clean,0
31,9406,24,24,0,0.387,consumer_goods,permanent,clean,0
68,17947,48,0,0,0.344,small_business,permanent,minor_arrears,0
42,21818,18,12,1,0.495,consumer_goods,permanent,clean,1
55,6634,24,24,0,0.203,car,casual,minor_arrears,0
58,34920,12,1,0,0.325,small_business,casual,clean,0
44,17064,6,3,1,0.317,car,casual,prior_default,0
43,4450,12,24,1,0.276,car,permanent,prior_default,1
43,3751,36,24,1,0.258,small_business,permanent,clean,0
63,7853,48,0,0,0.332,consumer_goods,permanent,restructured,1
39,6622,12,1,0,0.326,small_business,contractor,clean,0
34,11829,18,6,1,0.152,car,contractor,minor_arrears,1
38,8750,12,1,0,0.448,small_business,permanent,restructured,0
30,7020,6,1,0,0.164,car,casual,minor_arrears,0
40,2654,24,0,0,0.285,consumer_goods,permanent,minor_arrears,1
26,13217,36,0,0,0.273,small_business,permanent,clean,0
25,2498,36,3,0,0.377,car,permanent,minor_arrears,0
56,17099,24,6,1,0.02,car,permanent,minor_arrears,0
24,1903,24,6,0,0.463,car,casual,clean,0
48,2399,12,6,0,0.212,consumer_goods,self_employed,clean,0
59,4435,12,3,0,0.515,home_improvement,permanent,minor_arrears,0
56,6215,48,1,1,0.243,consumer_goods,permanent,minor_arrears,0
42,5345,36,0,0,0.312,small_business,casual,clean,1
30,6196,48,1,0,0.626,home_improvement,self_employed,restructured,1
66,10255,48,1,1,0.276,car,casual,minor_arrears,0
61,4510,36,0,1,0.518,consumer_goods,permanent,clean,0
50,10319,48,0,0,0.326,education,casual,clean,0
25,1436,24,0,0,0.386,home_improvement,permanent,clean,0
22,4389,6,6,0,0.331,small_business,self_employed,minor_arrears,0
36,2320,12,6,0,0.456,small_business,permanent,clean,0
28,16973,12,24,0,0.21,consumer_goods,casual,clean,0
63,4951,12,6,1,0.163,car,permanent,minor_arrears,0
31,12680,18,3,1,0.218,home_improvement,permanent,minor_arrears,1
